target_file,sha256,rows,valid_rows,invalid_rows,nonpositive_error_rows,exact_duplicate_rows,exact_duplicate_fraction,repeated_epoch_rows,repeated_epoch_fraction,conflicting_epoch_rows,reference_count,instrument_count,provenance_confounded,untraceable_rows,rv_full_span,rv_robust_90pct_span,full_to_robust_span_ratio,median_uncertainty,inference_ready
HD_10697_RV.csv,0d8350b7922428def80b097c55d588eed9f6a911f46f1d5bf248eb739e73afc4,345,345,0,0,0,0.0,185,0.5362318840579711,185,5,1,True,0,271.3,207.86399999999998,1.3051803102028252,2.0941,False
HD_107148_RV.csv,71bef26601ee32457c7f9c4afb218da04c49553ef4f19555bb1598cf17daa256,313,313,0,0,0,0.0,128,0.40894568690095845,128,3,1,True,0,46007.3751979439,27440.53644993178,1.6766208372744213,1.2439,False
HD_108147_RV.csv,a76f78d554930fd8138e24b156a2925517c801d1cc207287762e57f2a0018c12,254,254,0,0,0,0.0,0,0.0,0,3,1,True,0,5764.0,5130.995699627308,1.1233687060814865,5.45,False
HD_108874_RV.csv,b24f8bb284e9c2c8b1a1977b9baba5aa6a628a2c6567da5c40c183fd08fb6a7f,359,359,0,0,0,0.0,172,0.479108635097493,172,6,1,True,0,122.38,88.05399999999997,1.389828968587458,1.63,False
HD_113337_RV.csv,caa497d57a9a12fdf1205437e97d23d3aeddf7279dbb27d52011feb34bddbecb,331,331,0,0,0,0.0,0,0.0,0,2,1,True,0,28344.2,218.59999999999854,129.662397072279,2.676,False
HD_113996_RV.csv,9ed843d0f1754f8aaea8209b44ebb991817c01d875654ea260352087ee49329e,469,469,0,0,0,0.0,0,0.0,0,1,1,False,0,2480.0,776.0,3.195876288659794,280.0,True
HD_114729_RV.csv,3638f79e1e3cb695b4c3a6fc3399d783b80917840e8fbc9ffd64a5325431af0f,260,260,0,0,0,0.0,97,0.3730769230769231,97,4,1,True,0,64941.2641692039,64927.62163460203,1.0002101191181567,1.4445999999999999,False
HD_114783_RV.csv,151bb641973afcdcef8453683fed45241449809eeaaf64b110a8371714fdae78,520,520,0,0,0,0.0,250,0.4807692307692308,250,6,1,True,0,12896.9,11935.37778178344,1.0805606857023076,1.33,False
HD_117207_RV.csv,37331842d54e0830a4e251b12609477b5a853185319fdeb13e5b2057e84564bf,274,274,0,0,0,0.0,90,0.3284671532846715,90,4,1,True,0,17920.0828,17543.609028494764,1.021459311530128,1.23715829277684,False
HD_117618_RV.csv,5a593af3569ca46f365ac0ab0a37bdce10662946f3b5d2f2cd63134ca7e5f642,241,241,0,0,0,0.0,0,0.0,0,2,1,True,0,40073.1025944155,22172.508505362897,1.8073328322198166,1.0050733672237,False
