target,file,file_name,rows,archives,instruments,bjd_min,bjd_max,rv_min,rv_max,has_activity,relative_file
HD 175541,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_175541_RV.csv,HD_175541_RV.csv,294,DACE_PUBLIC,DACE,2450283.952,2458740.60781939,-28.52,19693.4514753243,False,data/HD_175541_RV.csv
HD 134606,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_134606_RV.csv,HD_134606_RV.csv,293,DACE_PUBLIC,DACE,2448373.799,2457883.7233172,1760.0,1970.0,False,data/HD_134606_RV.csv
HD 87883,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_87883_RV.csv,HD_87883_RV.csv,291,DACE_PUBLIC,DACE,2451155.03027,2458903.93823,-52.11,61.08,False,data/HD_87883_RV.csv
HD 207832,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_207832_RV.csv,HD_207832_RV.csv,290,DACE_PUBLIC,DACE,2452943.57398649,2459465.67638943,-16789.2050559394,49.63,False,data/HD_207832_RV.csv
HD 168746,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_168746_RV.csv,HD_168746_RV.csv,290,DACE_PUBLIC,DACE,2447670.725,2458740.59515416,-26160.0,42.93,False,data/HD_168746_RV.csv
HD 218566,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_218566_RV.csv,HD_218566_RV.csv,288,DACE_PUBLIC,DACE,2446312.473,2458755.68385777,-38590.0,16.93,False,data/HD_218566_RV.csv
HD 72659,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_72659_RV.csv,HD_72659_RV.csv,286,DACE_PUBLIC,DACE,2450838.8934,2459371.45945034,-18216.0797427372,46.72,False,data/HD_72659_RV.csv
UID_0007513_RVC_007.tbl,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/UID_0007513_RVC_007.tbl_RV.csv,UID_0007513_RVC_007.tbl_RV.csv,284,NASA_RADIAL,UID_0007513_RVC_007,2449680.753973,2454428.702007,-176.0,183.3,False,data/UID_0007513_RVC_007.tbl_RV.csv
HD 181234,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_181234_RV.csv,HD_181234_RV.csv,280,DACE_PUBLIC,DACE,2445857.619,2459872.50059727,-46910.0,146.0,False,data/HD_181234_RV.csv
GJ 317,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/GJ_317_RV.csv,GJ_317_RV.csv,278,DACE_PUBLIC,DACE,2451550.99259,2458852.94495,-106.43,88201.1408228355,False,data/GJ_317_RV.csv
HD 89744,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_89744_RV.csv,HD_89744_RV.csv,277,DACE_PUBLIC,DACE,2451478.05016,2455603.87716,-704.4,262.2,False,data/HD_89744_RV.csv
HD 30562,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_30562_RV.csv,HD_30562_RV.csv,277,DACE_PUBLIC,DACE,2445616.633,2456195.90218953,-37.37,77450.0,False,data/HD_30562_RV.csv
GJ 86,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/GJ_86_RV.csv,GJ_86_RV.csv,277,DACE_PUBLIC,DACE,2445236.852,2459826.86740413,-728.5,59340.0,False,data/GJ_86_RV.csv
UID_0043587_RVC_008.tbl,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/UID_0043587_RVC_008.tbl_RV.csv,UID_0043587_RVC_008.tbl_RV.csv,274,NASA_RADIAL,UID_0043587_RVC_008,2449676.0632,2455603.80404,-130.570007324,141.460006714,False,data/UID_0043587_RVC_008.tbl_RV.csv
HD 117207,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_117207_RV.csv,HD_117207_RV.csv,274,DACE_PUBLIC,DACE,2447701.513,2459566.84603727,-17880.0,40.0828,False,data/HD_117207_RV.csv
K2-111,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/K2-111_RV.csv,K2-111_RV.csv,273,DACE_PUBLIC,DACE,2457321.71851103,2458911.501219,-16443.038678478002,-16206.5137752247,False,data/K2-111_RV.csv
GJ 649,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/GJ_649_RV.csv,GJ_649_RV.csv,272,DACE_PUBLIC,DACE,2451409.82383,2458677.61404273,-21.04,4458.59994085889,False,data/GJ_649_RV.csv
HD 31527,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_31527_RV.csv,HD_31527_RV.csv,271,DACE_PUBLIC,DACE,2447223.534,2457993.92568006,25540.0,25990.0,False,data/HD_31527_RV.csv
HD 136118,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_136118_RV.csv,HD_136118_RV.csv,271,DACE_PUBLIC,DACE,2450832.06899,2462157.646,-241.52,745.3,False,data/HD_136118_RV.csv
HD 49674,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_49674_RV.csv,HD_49674_RV.csv,269,DACE_PUBLIC,DACE,2450883.058,2458788.15552,-26.5,998999.8,False,data/HD_49674_RV.csv
UID_0007513_RVC_003.tbl,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/UID_0007513_RVC_003.tbl_RV.csv,UID_0007513_RVC_003.tbl_RV.csv,268,NASA_RADIAL,UID_0007513_RVC_003,2447046.9223,2453220.951435,-179.8,184.6,False,data/UID_0007513_RVC_003.tbl_RV.csv
HD 130322,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_130322_RV.csv,HD_130322_RV.csv,267,DACE_PUBLIC,DACE,2446162.589,2458729.49225595,-12690.0,110.4,False,data/HD_130322_RV.csv
HD 4208,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_4208_RV.csv,HD_4208_RV.csv,264,DACE_PUBLIC,DACE,2447676.899,2459444.7797116,-39.46,56820.0,False,data/HD_4208_RV.csv
HD 171238,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_171238_RV.csv,HD_171238_RV.csv,264,DACE_PUBLIC,DACE,2447671.936,2460218.55907899,-9.78,21723.9206785451,False,data/HD_171238_RV.csv
HD 167042,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_167042_RV.csv,HD_167042_RV.csv,262,DACE_PUBLIC,DACE,2453077.3248,2458648.91123,-45.58,47.89,False,data/HD_167042_RV.csv
HD 114729,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_114729_RV.csv,HD_114729_RV.csv,260,DACE_PUBLIC,DACE,2447701.505,2459427.45920472,-30.4,64910.8641692039,False,data/HD_114729_RV.csv
UID_0024813_RVC_003.tbl,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/UID_0024813_RVC_003.tbl_RV.csv,UID_0024813_RVC_003.tbl_RV.csv,259,NASA_RADIAL,UID_0024813_RVC_003,2449766.67847,2455846.93551,-25.0200004578,17.2999992371,False,data/UID_0024813_RVC_003.tbl_RV.csv
EPIC 229004835,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/EPIC_229004835_RV.csv,EPIC_229004835_RV.csv,258,DACE_PUBLIC,DACE,2457802.64599488,2458647.43099047,-31536.1498054258,-31415.9240378459,False,data/EPIC_229004835_RV.csv
